811 004,Maintenance of Utility Systems,J035,811004
811 005,"Refrigeration, Heating, Ventilation, Air Conditioner, Boiler and Chiller HVAC Maintenance",J035,811005
811 006,Facilities Maintenance and Management Consulting -,J035,811006
812 002,Dry Docking and/or Dockside Maintenance and Repair Services,J035,812002
871 100,Ancillary Supplies and/or Services -,R425,871100
871 202,Energy Management Planning and Strategies,R425,871202
871 203,Training on Energy Management,R425,871203
871 204,Metering Services,R425,871204
871 205,Energy Program Support Services,R425,871205
871 206,Building Commissioning Services,R425,871206
871 207,Energy Audit Services,R425,871207
871 208,Resource Efficiency Management (REM) -,R425,871208
871 209,Innovations in Renewable Energy,R425,871209
871 210,Water Conservation,R425,871210
871 211,Energy Consulting Services -,R425,871211
871 299,Introduction of New Services,R425,871299
SIN,SIN Title,PSC ,SIN
023 101,Trailers and Attachments -,2330,023101
023 LSV,"Low Speed Vehicles, Gas or Electric",W023,023LSV
025 101,Miscellaneous Vehicle Accessories -,2590,025101
096 1N,Passenger Tires (New) -,2610,0961N
096 2N,Light Truck Tires (New) -,2610,0962N
096 2R,Light Truck Tires (Retread),2610,0962R
096 3N,Medium Truck-Bus Tires (New) -,2610,0963N
096 3R,Medium Truck - Bus Tires (Retread),2610,0963R
096 4N,Specialty Tires (New),2610,0964N
096 4R,Specialty Tires (Retread),2610,0964R
125 102,Utility & Telecom Construction Equipment and Attachments -,2540,125102
125 104,Vocational Bodies and Attachments -,2540,125104
190 01,Fire Fighting Apparatus and Attachments,4210,19001
190 02,Leased Fire Fighting Vehicles and Accessories,W042,19002
190 03,Law Enforcement Vehicles and Attachments,4240,19003
190 04,Emergency Communications Vehicles,4240,19004
190 05,Special Vocation Vehicles and Attachments,4240,19005
190 06,Aircraft Ground Support Vehicles and Equipment,1730,19006
190 07,Upfitting of Government-owned Emergency Response Vehicles to Provide Turn-key Solutions,N042,19007
271 101,Construction Equipment and Attachments: -,3930,271101
271 102,Snow Maintenance Equipment (Vehicle Mounting),2320,271102
271 103,Vehicular Cranes and Attachments -,3810,271103
271 104,Snow Maintenance and Cleaning Equipment and Attachments -,3825,271104
271 105,"Forestry, Mulching, Brush Cutting, and Land Clearing Equipment and Attachments -",3895,271105
271 106,Street Repair Equipment and Attachments: -,3895,271106
271 107,Leased Equipment and Accessories -,W038,271107
271 108,"Spare Components and Equipment for Sedans, Light, Buses, Medium and Heavy Duty Trucks",2590,271108
271 112,Leased Heavy Duty Vehicles and Accessories,W025,271112
271 113,Ancillary Supplies,2320,271113
271 114,Ancillary Services,N025,271114
272 105,New Technologies,2320,272105
272 106,Remanufactured Automotive Components -,2520,272106
400 01,General Automotive Maintenance and Repair Services,J023,40001
400 02,Automotive Body and Repair Services,J023,40002
400 03,Automotive Towing Services,J023,40003
618 02,Waste Disposal Vehicles and Attachments -,3695,61802
967 01,Fuel and Petroleum Tank Trucks and Accessories -,2320,96701
968 01,Water Tank Trucks and Accessories -,2320,96801
SIN,SIN Title,PSC ,SIN
165 205,"Multimedia Office Cabinets, Displays, and Filing Systems including Pocket Card Frames and Portfolios",7125,165205
20 220,"Projection Screen, Stand, Printer (Enlarger), Systems",3610,20220
20 300,Projectors & Electronic Whiteboards,3610,20300
47 145,Typewriters,7430,47145
47 147,Security Applications for Business Machines,3610,47147
47 355,Dictating and Transcribing Machines and Systems,3610,47355
50 156,Personal & Document Identification Systems,3610,50156
50 163,"Mail Processing Machines, Systems and Related Software",3610,50163
50 177,Date and Time Stamps,3610,50177
50 180,Time and Attendance Program Systems,3610,50180
50 205,Rental Plan for Postage Meters and Related Mailing Equipment,3610,50205
50 281,Calculators,7420,50281
50 287,Money Handling & Processing Machines,3610,50287
50 7002,Stencil Cutting Machines,3610,507002
51 001,Office Products for the Impaired,3610,51001
51 002,Business Card Scanner and Solutions,3610,51002
51 100,Copiers,3610,51100
51 1000,Ancillary Supplies and/or Services,3610,511000
51 1001,Introduction of New Products/Services (INPS SIN),3610,511001
51 100C,"Cost-per-Copy Plan for Copiers (to include Analog, Digital, Multifunctional and Engineer Copiers)",3610,51100C
51 100F,Flat Rate Monthly Fee Copying Plan For Copiers,3610,51100F
51 101 2,"Consumable Supplies for Copiers, Computers Printers and Fax Machines",3610,511012
51 101 7,Transparency Film,3610,511017
51 208,"Maintenance Service Agreement For all Other Equipment Repair, replacement, and spare parts for equipment other than copiers, including their associated accessories and attachments.",J099,51208
51 212,Post Copying/Finishing Equipment and Supplies,3610,51212
51 229,Digital Duplicating Equipment,3610,51229
51 400,3D Printing Solutions,3415,51400
51 402,"Multi-Media Readers, Reader-Printers and Systems",3610,51402
51 409,"Network, Optical Imaging Systems and Solutions",3610,51409
51 417,"Microphotographic Film, Paper, Chemical Preparation and Equipment",3610,51417
51 500,Managed Print Services,3610,51500
51 501,Needs Assessment and Analysis Services,R799,51501
51 503,Education and Training Support Services,U099,51503
51 504,Records Management Services,R799,51504
51 505,Document Production On-site and Off-site Services,R799,51505
51 506,Document Conversion Services,R799,51506
51 507,Destruction Services,R799,51507
51 508,Litigation Support Services,R799,51508
51 509,Network Connectivity Support Services,R799,51509
51 55,Rental Plan for Copiers,3610,5155
51 56,Repair of Government-Owned Equipment (all equipment covered under this schedule) for equipment not under Maintenance Service Agreement,3610,5156
51 57,Maintenance Service Agreement For Copiers,J074,5157
51 58,Lease to Ownership Plans (LTOP) Copiers,W074,5158
51 58A,Operating Lease Plan For Copiers,W074,5158A
51 58B,Operating Lease Plan - (All Other Products),W074,5158B
51 B36 2A,International - All Equipment under this Schedule,3610,51B362A
733 1,Mail Room Management Services,R604,7331
733 2,Presort Mail,3610,7332
733 3,Miscellaneous Mail Services,3610,7333
733 4,List Management Services,R604,7334
733 5,Mailroom Ergonomic Analysis Services,R604,7335
733 6,Mail Screening and Inspection Services,3610,7336
SIN,SIN Title,PSC ,SIN
411 1,Ground Transportation Services,V122,4111
411 2,RENTAL SUPPLEMENTAL VEHICLE PROGRAM (RSVP):,V122,4112
411 3,Transportation Consulting Services,V122,4113
411 4,Transportation Service Providers - Motor Freight,V111,4114
411 5,Transportation Service Providers - Water Freight,V112,4115
411 6,Transportation Service Providers - Rail Freight,V113,4116
411 7,Transportation Service Providers - Air Cargo / Freight,V115,4117
451 1,EXPRESS SMALL PACKAGE AND EXPRESS HEAVYWEIGHT DELIVERY SERVICES,V111,4511
451 2,GROUND SMALL PACKAGE DELIVERY SERVICES,V112,4512
451 3,LOCAL COURIER DELIVERY SERVICES,V112,4513
451 99,NEW SERVICES,V111,45199
653 1,Relocation Service Package,V301,6531
653 3,Relocation Software and Technology Tools,V301,6533
653 4,Additional Services,V301,6534
653 5,Agency Customization Services,V301,6535
653 7,Move Management Services,V301,6537
653 8,OFFICE RELOCATION,V301,6538
653 9,Long Term Lodging,V231,6539
SIN,SIN Title,PSC ,SIN
051 200,Accessories:,9999,051200
051 300,"Inventory Bin Management, Technical Support and Training:",5110,051300
051 400,Ancillary Supplies and/or Services,R498,051400
051 99,Introduction of New Products and Services:,9999,05199
105 001,"Hardware Store, Home Improvement Center, or MRO - Store Front",5120,105001
105 002,"Hardware Store, Home Improvement Center, or MRO - Catalog",5120,105002
105 003,"Hardware Store, Home Improvement Center, or MRO - Services",S208,105003
341 100,"Lawn and Garden Equipment, Machinery, Implements, and Products",3695,341100
341 500,Animal Deterrents:,3720,341500
341 800,Lawn and Garden Tools:,3720,341800
515 001,Leasing:,W099,515001
515 002,Rental,W099,515002
550 001,"Tools, Powered:",5130,550001
577 001,Woodworking Machinery Equipment and Related Services,3220,577001
577 002,Maintenance Industrial Machinery and Related Services,3444,577002
577 005,"Metalworking Machinery and Equipment, and Related Services",3220,577005
600 001,"Tool Boxes, Tool Chests and Tool Holders:",5140,600001
612 209,Tool Kits:,5180,612209
613 001,"Tools, Nonpowered:",5110,613001
639 001,Domestic Appliances -,4120,639001
639 002,Export Appliances,4120,639002
834 100,"Commercial Coatings, Adhesives, Sealants and Related Services",8010,834100
834 500,"Stains, Varnishes, Sealers, Shellacs and Lacquers and Related Services",8010,834500
834 600,Commercial Coatings Removers and Related Services,8010,834600
834 700,Commercial Coatings Applicators,8020,834700
834 900,"Lubricants, Petroleum and Waxes:",8020,834900
SIN,SIN Title,PSC ,SIN
056 01,Smart Buildings Systems Integrator,J035,05601
206 12,"Energy Saving, Energy Efficient, Sustainable, and Environmentally Sustainable Outdoor Lighting Solutions, Including Airport Lighting, Runway, Taxiway, Roadway and Parking Lot, Parking Garage Lighting Solutions:",6210,20612
206 3,"Alternative and Renewable Sustainable Energy Solutions, Including Solar Energy Systems, Fuel Cells, Geothermal, and Wind Power:",6260,2063
206 4,"Energy Saving Lighting, Energy Efficient, Sustainable, and Environmentally Sustainable Lamps (light bulbs), Lighting Fixtures and Accessories, Indoor Emergency Lighting, Reading Lights, Lighting Sensor Systems:",6210,2064
253 19,Diagnostic Equipment:,4910,25319
253 2,Wheel & Tire Equipment:,4910,2532
253 20,Vehicle Material Handling Equipment:,4930,25320
253 24,Lubrication Equipment:,4930,25324
253 39,Air Compressors:,4310,25339
253 40,Environmental Equipment and Services Related to Maintenance and Repair Shop Equipment:,4940,25340
253 46,Miscellaneous Maintenance and Repair Shop Supplies:,4940,25346
253 48A,Pressure Cleaners - Underwriters Laboratories (UL) 1776 Certified:,4940,25348A
253 48C,Pressure Cleaners - Not UL-1776 Certified:,4940,25348C
253 49,Automatic Cleaning Machines & Parts Washers:,4940,25349
253 50,Blasters and Media:,4940,25350
253 51,Spray Paint Booths and Equipment:,4940,25351
253 52,Miscellaneous Abrasives:,5345,25352
253 90,Ancillary Services related to Maintenance and Repair Shop Equipment:,R699,25390
253 91,Lease/Rental of Vehicle Maintenance and Repair Shop Equipment:,R699,25391
253 97,Ancillary Repair and Alterations related to Maintenance and Repair Shop Solutions,Z159,25397
253 99,Introduction of New Services/Products relating to Maintenance and Repair Shop Equipment:,R699,25399
357 02,Warehouse Trucks and  Tractors -,3930,35702
357 03,"Utility Trucks, Platform Trucks, HandTrucks and Mail Carts -",3920,35703
357 08,"Dock Plates, Boards, Ramps, and Bridges",3990,35708
357 09B,Pallet Trucks -,3990,35709B
357 10C,"Spill Containment Units, Containment Pallets, Non-Wooden Pallets -",3990,35710C
357 11C,Warehouse Equipment and Supplies -,3990,35711C
357 97,Ancillary Repair and Alterations related to Warehouse Equipment Solutions,R699,35797
357 98,"Ancillary Services Relating to Warehouse Equipment and Supplies, Relating to and Ordered in Conjunction with Products Purchased Under the Supply Schedule Contract",R699,35798
357 99,"Introduction of New Products/Services, related  to Warehouse Equipment and Supplies -",R699,35799
361 05,"Scaffolding, Work and Service Platforms:",5440,36105
361 10A,Pre-Engineered and Prefabricated Buildings and Structures for Storage Solutions:,5410,36110A
361 10B,Pre-Engineered and Prefabricated Buildings and Structures for In-Plant Solutions:,5410,36110B
361 10D,"Pre-Engineered and Prefabricated Buildings and Structures for Military, Disaster/Emergency Response, and Medical Facility Solutions:",5410,36110D
361 10E,Pre-Engineered and Prefabricated Buildings and Structures for Professional Facility Solutions:,5410,36110E
361 10G,Pre-Engineered and Prefabricated Buildings and Structures for Outdoor Shelter and Security Shelter Solutions:,5410,36110G
361 10H,"Pre-Engineered and Prefabricated Buildings and Structures for Restroom, Shower, and Laundry Solutions:",5410,36110H
361 20A,Above Ground Storage Tanks/Systems:,5430,36120A
361 24,"Fuel Management Systems/Units, Fuel Dispensing Units, Fuel Monitoring Systems:",5430,36124
361 27,"Ancillary Services for Above Ground Storage Tanks/Systems, Fuel Dispensing Units, and Fuel Management Systems:",5430,36127
361 28,"Installation and Site Preparation for Above Ground Storage Tanks/Systems, Fuel Dispensing Units, and Fuel Management Systems:",5430,36128
361 30,Ancillary Services relating to Pre-Engineered/Pre-Fabricated Buildings and Structures:,5410,36130
361 32,Ancillary Services relating to Pre-Engineered/Pre-Fabricated Buildings and Structures:,5410,36132
361 50,Lease/Rental of Pre-Engineered/Prefabricated Buildings and Structures:,5410,36150
361 51,Lease/Rental of Pre-Engineered/Prefabricated Restrooms and Utility Rooms,5410,36151
361 97,Ancillary Repair and Alterations related to Pre-Engineered/Prefabricated Building and Structures Solutions,5410,36197
361 97A,"Ancillary Repair and Alterations related to Above Ground Storage Tanks, Fuel Dispensing Equipment, and Fuel Management System Solutions",Z294,36197A
361 99,"Introduction of New Services and Products Related to Water Treatment and Above Ground Storage Tank/Systems Including, but not Limited to, Protected, Fire Resistant, Non Vaulted, Single or Dual Compartment/Single or Double Tank, Waste Oil Systems, Including Options, Parts and Accessories:",5430,36199
361 99A,Introduction of New Services and Products related to  Pre-Engineered/Prefabricated Buildings and Structures:,5410,36199A
383 10,Portable Light Towers:,6105,38310
383 2,"Generators, Portable, Standby, Backup, or Prime:",6115,3832
383 5,"Batteries and Battery Chargers, Including Rental:",6350,3835
383 9,Battery and Alternator Monitoring Systems; Battery Spill Containment Systems; Parts and Accessories,6350,3839
412 14,Uninterruptible Power Supplies:,6125,41214
412 15,Power Distribution Units,6125,41215
412 17,"Switchgear, Panelboards, Switchboards, Load Centers, Metering:",6125,41217
412 19,Transformers,6120,41219
412 21,"Electrical, Voltage, Generator Controls, Electric Motors, Motor Controllers/Motor Control Centers:",6145,41221
412 3,"Surge Protection/Suppression:Surge Protection/Suppression, Hard Wired Surge Protection and EMI/RFI Filtration Devices:",5920,4123
412 50,Ancillary Service Related to Alternative Energy Solutions and Power Distribution Equipment,R412,41250
412 51,Installation and Site Preparation Services for Alternative Energy Solutions and Power Distribution Equipment:,Y237,41251
412 52,Power Systems Engineering Support for Alternative Energy Solutions and Power Distribution Equipment:,R414,41252
412 97,"Ancillary Repair and Alterations for Alternative Energy Systems, Power Generation Equipment, Generators, and Batteries Solutions",S214,41297
412 99,"Introduction of New Services and Products related to Alternative Energy Solutions and Power Distribution Equipment, Generators and Batteries:",W061,41299
563 16,"Energy Savings/Security Door, Window, and Wall Glass Fragmentation Transparencies, Glazings, and Film Solutions, including Solar,  Blast Mitigation, Bullet Resistant:",5640,56316
563 23,"Doors, Windows, Skylights, Panels, and Shutters:",5520,56323
563 25,Plumbing Products and Bathroom Fixture Solutions:,4510,56325
563 27,"Energy Savings/Energy Efficient Industrial and Commercial Heating/Air Conditioning Units, Air Purification Equipment, HVAC Systems, Boiler Systems, Space Heaters, Air Curtains, Fans, and Blowers:",4130,56327
563 28,"Energy Savings/Energy Efficient Industrial and Commercial Electric and Gas Water Heaters, Boiled Water Heaters, Including Options, Energy Efficient Monitoring Devices, and Accessories:",4510,56328
563 29,Miscellaneous Building Materials:,5680,56329
563 30,"Portable Roads, Airstrips, Helipads and Ground-Cover Mats:",5680,56330
563 4,"Roofing Materials, Products and Services Solutions",5650,5634
563 6,Access and Portable Flooring Solutions:,5680,5636
563 8,"Erosion Control Solutions, Including Soil Stabilization Solutions, Protective Barriers and Sandbags, Fabric & Gabions:",5680,5638
563 97,Ancillary Repair and Alterations for Building Materials Solutions,Z242,56397
563 98,Ancillary Services related to Building Materials/Supplies:,Z242,56398
563 99,Introduction of New Services and Products Related to Building Materials/Supplies:,5680,56399
629 01A,"Forklifts-Electric, Gas, LPG, and Diesel Powered -",3930,62901A
629 05,"Maintenance, Rental and Lease of Forklifts",R699,62905
641 6,"Water Treatment Solutions, including Water Filtration Systems, Water Purification Systems, Sewage Treatment Equipment/Systems:",4630,6416
SIN,SIN Title,PSC ,SIN
219 10,Television/VCR/DVD/Blu-ray Combinations,7730,21910
219 11,Audio Components,7730,21911
219 13,Hand Held Camcorders,7730,21913
219 3,Televisions,7730,2193
219 4,"Television for Hospital, Hotels and Motel",7730,2194
219 9,"VCRs, VCP, DVD, Blu-ray",7730,2199
58 1,"Recording and Reproducing Video and Audio Equipment, Including Spare & Repair Parts, and Accessories",5820,581
58 10,Professional Audio/Video Services NEC,R499,5810
58 2,"Monitors and Monitors/Receivers, Including Spare & Repair Parts, and Accessories",5820,582
58 3,"Television Cameras, Color or Monochrome, Including Spare & Repair Parts, & Accessories",5820,583
58 4,"Audio Equipment, Including Spare & Repair Parts, and Accessories",5820,584
58 6,"Telecommunications Equipment, Including Spare and Repair Parts, and Accessories",5820,586
58 7,Ancillary Supplies and/or Services -,N058,587
58 8,"Professional Audio/Video Assessment, Design, and Integration",R499,588
58 9,Professional Audio/Video Production,R499,589
58 98,Overseas (International) Products -,5820,5898
58 99,"Introduction of New Products, Including Spare & Repair Parts and Accessories",5820,5899
SIN,SIN Title,PSC,SIN
599 1,Travel Consulting Services,V999,5991
599 1000,Contract Support Items,V999,5991000
599 2,Travel Agent Services,V302,5992
599 3,Lodging Negotiations and Management Services,V999,5993
599 4,Air Charter Services- Owner Operated,V221,5994
599 5,Air Charter Services-Brokers,V221,5995
599 6,Specialized Conference Facilities and Services,M1AB,5996
599 99,Introduction to New Services/Products,V999,59999
SIN,SIN Title,PSC,SIN
540 11,Reusable Laboratory Plastic Ware,6640,54011
540 12,Disposable Laboratory Plastic Ware,6640,54012
540 16,Non-Plastic And Non-Glass Laboratory Ware,6640,54016
540 19,"Laboratory Water Purification Devices, Systems",6640,54019
540 2,"Labware Support Apparatus, Thermometers, Contact Heating Sensing Devices",6640,5402
540 21,Filter Elements,6640,54021
540 3,Reusable Laboratory Glassware,6640,5403
540 7,Disposable Laboratory Glassware,6640,5407
566 1,Modular Laboratory Furniture Systems,7195,5661
566 2,"Individual Non-Modular Laboratory Tables, Cabinets, Benches, Laboratory Carts",7195,5662
566 3,Special-Purpose Laboratory Furniture,7195,5663
566 5,Workstation Design/Installation,7195,5665
581 1,"Convertible Vertical Laminar Airflow, Biological Hazard Safety Cabinets",6636,5811
581 2,"Externally Exhausted, Vertical Laminar Airflow, Biological Hazard Safety Cabinets",6636,5812
602 1,Microwave/Millimeter Wave Antennas,5985,6021
602 10,Pressure Standards And Calibration Instruments,6685,60210
602 14,"Chart Recorders, Data Acquisition And Data Logging Systems",6625,60214
602 17,"Laboratory Bench And Rack Power Supplies, Mount Type, Programmable",6625,60217
602 18,Transducer Signal Conditioning Devices,6625,60218
602 2,Microwave/Millimeter Wave Instrumentation Subcomponents,5985,6022
602 21,Load Pressure And Vacuum Transducers,6685,60221
602 22,Acceleration Transducers (Accelerometers),6625,60222
602 23,"Vibration, Acoustic, And Ultrasonic Transducers",6625,60223
602 24,Panel Meters,6625,60224
602 26,Nuclear Radiation Standards And Calibrators,6625,60226
602 3,Amplifiers And Filters,6625,6023
602 30,"Vibration, Acoustic And Ultrasonic Testers and Analyzers",6635,60230
602 31,"Spot-Sensing, Non-Contact Temperature-Measuring Instruments",6685,60231
602 32,"Temperature/Heat Imaging Instruments; Humidity Standards And Calibrators, Heat Energy Measuring Instruments And Temperature Controlling Instruments",6685,60232
602 35,"Ground Penetrating Radar Equipment (GPR), Electromagnetic Induction Equipment, And Other Conductive Material Locators",6695,60235
602 40,Avionics Test Equipment,6695,60240
602 4000,"Aircraft Components, Maintenance, Repair Services, Extended Warranties, And Maintenance Agreements",J059,6024000
602 41,Navigational And Flight Instruments,6610,60241
602 42,Automatic Pilot Mechanisms And Airborne Gyro Components,6615,60242
602 43,Aviation Engine Instruments,6620,60243
